cluster_id,timeslice,cpu_cap,mem_cap,vf_cap,cpu_load,mem_load,vf_load
0,0,272,768,160,0,0,0
0,1,272,768,160,0,0,0
0,2,272,768,160,0,0,0
0,3,272,768,160,0,0,0
0,4,272,768,160,0,0,0
0,5,272,768,160,120,249,59
0,6,272,768,160,120,249,59
0,7,272,768,160,213,517,59
0,8,272,768,160,213,517,59
0,9,272,768,160,213,517,59
0,10,272,768,160,93,268,0
0,11,272,768,160,93,268,0
0,12,272,768,160,93,268,0
0,13,272,768,160,93,268,0
0,14,272,768,160,109,361,0
0,15,272,768,160,93,268,0
0,16,272,768,160,93,268,0
0,17,272,768,160,0,0,0
0,18,272,768,160,0,0,0
0,19,272,768,160,0,0,0
0,20,272,768,160,0,0,0
0,21,272,768,160,0,0,0
0,22,272,768,160,0,0,0
1,0,304,832,0,0,0,0
1,1,256,704,0,0,0,0
1,2,256,704,0,0,0,0
1,3,256,704,0,0,0,0
1,4,256,704,0,0,0,0
1,5,256,704,0,0,0,0
1,6,256,704,0,65,176,0
1,7,256,704,0,83,297,0
1,8,256,704,0,83,297,0
1,9,256,704,0,65,176,0
1,10,256,704,0,26,80,0
1,11,256,704,0,0,0,0
1,12,256,704,0,18,97,0
1,13,256,704,0,18,97,0
1,14,256,704,0,18,97,0
1,15,256,704,0,0,0,0
1,16,256,704,0,0,0,0
1,17,256,704,0,0,0,0
1,18,256,704,0,0,0,0
1,19,256,704,0,0,0,0
1,20,256,704,0,0,0,0
1,21,256,704,0,0,0,0
1,22,256,704,0,0,0,0
2,0,256,704,0,0,0,0
2,1,304,832,0,0,0,0
2,2,304,832,0,0,0,0
2,3,304,832,0,151,473,0
2,4,304,832,0,151,473,0
2,5,304,832,0,44,169,0
2,6,304,832,0,44,169,0
2,7,304,832,0,0,0,0
2,8,304,832,0,0,0,0
2,9,304,832,0,29,65,0
2,10,304,832,0,29,65,0
2,11,304,832,0,277,633,0
2,12,304,832,0,272,606,0
2,13,304,832,0,217,424,0
2,14,304,832,0,217,424,0
2,15,304,832,0,122,236,0
2,16,304,832,0,98,198,0
2,17,304,832,0,98,198,0
2,18,304,832,0,98,198,0
2,19,304,832,0,98,198,0
2,20,304,832,0,98,198,0
2,21,304,832,0,98,198,0
2,22,304,832,0,98,198,0
