No,Cluster,NodeName,CPU(Cores),Memory(Mi),TotalSRIOV
1,k8s-cicd,cicd-server.novalocal,8,23947,0
2,k8s-cicd,nfvi-172-20-3-167.novalocal,12,29994,0
3,k8s-cicd,nfvi-172-20-3-168.novalocal,12,29994,0
4,k8s-cicd,nfvi-172-20-3-170.novalocal,12,29994,0
5,k8s-cicd,nfvi-172-20-3-190.novalocal,12,29994,0
6,k8s-cicd,nfvi-172-20-3-191.novalocal,12,29994,0
7,k8s-cicd,nfvi-172-20-3-197.novalocal,12,29994,0
8,k8s-cicd,nfvi-172-20-3-199.novalocal,12,29994,0
9,k8s-cicd,nfvi-172-20-3-200.novalocal,12,29994,0
10,k8s-cicd,vmocs-172-20-3-187,12,29994,0
11,k8s-cicd,vmocs-172-20-3-187,12,29994,0
1,k8s-nano,nano01,80,257363,0
2,k8s-nano,nano02,80,257363,0
3,k8s-nano,nano03,80,257363,0
1,pat-141,worker-172-20-3-82,80,385437,0
1,pat-171,worker-172-20-3-8,80,385437,0
2,pat-171,pat01vm01,8,23947,0
3,pat-171,pat01vm02,8,23947,0
4,pat-171,vocs40db01,96,257361,128
5,pat-171,vocs40db02,96,257361,128
6,pat-171,vocs40nfvi01,96,257424,0
7,pat-171,vocs40nfvi02,96,257424,0
8,pat-171,vocs40nfvi05,96,257425,128
9,pat-171,vocs40nfvi06,96,257425,128
