timeslice,job_id,cluster_id,running
1,1,1,1
2,1,1,1
3,1,1,1
4,1,1,0
5,1,1,0
6,1,1,0
7,1,1,0
8,1,1,0
9,1,1,0
10,1,1,0
11,1,1,0
12,1,1,0
13,1,1,0
14,1,1,0
15,1,1,0
16,1,1,0
17,1,1,0
18,1,1,0
19,1,1,0
20,1,1,0
21,1,1,0
22,1,1,0
23,1,1,0
24,1,1,0
25,1,1,0
26,1,1,0
27,1,1,0
28,1,1,0
29,1,1,0
30,1,1,0
31,1,1,0
32,1,1,0
33,1,1,0
34,1,1,0
35,1,1,0
36,1,1,0
37,1,1,0
38,1,1,0
39,1,1,0
40,1,1,0
41,1,1,0
42,1,1,0
43,1,1,0
44,1,1,0
45,1,1,0
46,1,1,0
47,1,1,0
48,1,1,0
49,1,1,0
50,1,1,0
51,1,1,0
52,1,1,0
53,1,1,0
54,1,1,0
55,1,1,0
56,1,1,0
57,1,1,0
58,1,1,0
59,1,1,0
60,1,1,0
61,1,1,0
62,1,1,0
63,1,1,0
64,1,1,0
65,1,1,0
66,1,1,0
67,1,1,0
68,1,1,0
69,1,1,0
70,1,1,0
71,1,1,0
72,1,1,0
73,1,1,0
74,1,1,0
75,1,1,0
76,1,1,0
77,1,1,0
78,1,1,0
79,1,1,0
80,1,1,0
81,1,1,0
82,1,1,0
83,1,1,0
84,1,1,0
85,1,1,0
86,1,1,0
87,1,1,0
88,1,1,0
89,1,1,0
90,1,1,0
91,1,1,0
92,1,1,0
93,1,1,0
94,1,1,0
95,1,1,0
96,1,1,0
97,1,1,0
98,1,1,0
99,1,1,0
100,1,1,0
101,1,1,0
102,1,1,0
103,1,1,0
104,1,1,0
105,1,1,0
106,1,1,0
107,1,1,0
108,1,1,0
109,1,1,0
110,1,1,0
111,1,1,0
112,1,1,0
113,1,1,0
114,1,1,0
115,1,1,0
116,1,1,0
117,1,1,0
118,1,1,0
119,1,1,0
120,1,1,0
1,2,1,0
2,2,1,0
3,2,1,0
4,2,1,1
5,2,1,0
6,2,1,0
7,2,1,0
8,2,1,0
9,2,1,0
10,2,1,0
11,2,1,0
12,2,1,0
13,2,1,0
14,2,1,0
15,2,1,0
16,2,1,0
17,2,1,0
18,2,1,0
19,2,1,0
20,2,1,0
21,2,1,0
22,2,1,0
23,2,1,0
24,2,1,0
25,2,1,0
26,2,1,0
27,2,1,0
28,2,1,0
29,2,1,0
30,2,1,0
31,2,1,0
32,2,1,0
33,2,1,0
34,2,1,0
35,2,1,0
36,2,1,0
37,2,1,0
38,2,1,0
39,2,1,0
40,2,1,0
41,2,1,0
42,2,1,0
43,2,1,0
44,2,1,0
45,2,1,0
46,2,1,0
47,2,1,0
48,2,1,0
49,2,1,0
50,2,1,0
51,2,1,0
52,2,1,0
53,2,1,0
54,2,1,0
55,2,1,0
56,2,1,0
57,2,1,0
58,2,1,0
59,2,1,0
60,2,1,0
61,2,1,0
62,2,1,0
63,2,1,0
64,2,1,0
65,2,1,0
66,2,1,0
67,2,1,0
68,2,1,0
69,2,1,0
70,2,1,0
71,2,1,0
72,2,1,0
73,2,1,0
74,2,1,0
75,2,1,0
76,2,1,0
77,2,1,0
78,2,1,0
79,2,1,0
80,2,1,0
81,2,1,0
82,2,1,0
83,2,1,0
84,2,1,0
85,2,1,0
86,2,1,0
87,2,1,0
88,2,1,0
89,2,1,0
90,2,1,0
91,2,1,0
92,2,1,0
93,2,1,0
94,2,1,0
95,2,1,0
96,2,1,0
97,2,1,0
98,2,1,0
99,2,1,0
100,2,1,0
101,2,1,0
102,2,1,0
103,2,1,0
104,2,1,0
105,2,1,0
106,2,1,0
107,2,1,0
108,2,1,0
109,2,1,0
110,2,1,0
111,2,1,0
112,2,1,0
113,2,1,0
114,2,1,0
115,2,1,0
116,2,1,0
117,2,1,0
118,2,1,0
119,2,1,0
120,2,1,0
1,3,1,0
2,3,1,0
3,3,1,0
4,3,1,0
5,3,1,1
6,3,1,1
7,3,1,1
8,3,1,0
9,3,1,0
10,3,1,0
11,3,1,0
12,3,1,0
13,3,1,0
14,3,1,0
15,3,1,0
16,3,1,0
17,3,1,0
18,3,1,0
19,3,1,0
